bench,bpred,size,metric,value
li,tsbp,64KB,bpred_jr_non_ras_rate.PP,0.8256
m88ksim,tsbp,128KB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,tsbp,16KB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,tsbp,1MB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,tsbp,256KB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,tsbp,32KB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,tsbp,512KB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,tsbp,64KB,bpred_jr_non_ras_rate.PP,0.6769
perl,tsbp,128KB,bpred_jr_non_ras_rate.PP,0.1495
perl,tsbp,16KB,bpred_jr_non_ras_rate.PP,0.1495
perl,tsbp,1MB,bpred_jr_non_ras_rate.PP,0.1495
perl,tsbp,256KB,bpred_jr_non_ras_rate.PP,0.1495
perl,tsbp,32KB,bpred_jr_non_ras_rate.PP,0.1495
perl,tsbp,512KB,bpred_jr_non_ras_rate.PP,0.1495
perl,tsbp,64KB,bpred_jr_non_ras_rate.PP,0.1495
vortex,tsbp,128KB,bpred_jr_non_ras_rate.PP,0.5754
vortex,tsbp,16KB,bpred_jr_non_ras_rate.PP,0.5754
vortex,tsbp,1MB,bpred_jr_non_ras_rate.PP,0.5754
vortex,tsbp,256KB,bpred_jr_non_ras_rate.PP,0.5754
vortex,tsbp,32KB,bpred_jr_non_ras_rate.PP,0.5754
vortex,tsbp,512KB,bpred_jr_non_ras_rate.PP,0.5754
vortex,tsbp,64KB,bpred_jr_non_ras_rate.PP,0.5754
fpppp,tsbp,128KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,tsbp,128KB,ras_rate.PP,0.8068
fpppp,tsbp,16KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,tsbp,16KB,ras_rate.PP,0.8068
fpppp,tsbp,1MB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,tsbp,1MB,ras_rate.PP,0.8116
fpppp,tsbp,256KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,tsbp,256KB,ras_rate.PP,0.8068
fpppp,tsbp,32KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,tsbp,32KB,ras_rate.PP,0.8068
fpppp,tsbp,512KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,tsbp,512KB,ras_rate.PP,0.8068
fpppp,tsbp,64KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,tsbp,64KB,ras_rate.PP,0.8068
gcc,tsbp,128KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,tsbp,128KB,ras_rate.PP,0.9660
gcc,tsbp,16KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,tsbp,16KB,ras_rate.PP,0.9641
gcc,tsbp,1MB,bpred_jr_non_ras_rate.PP,0.3227
gcc,tsbp,1MB,ras_rate.PP,0.9663
gcc,tsbp,256KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,tsbp,256KB,ras_rate.PP,0.9670
gcc,tsbp,32KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,tsbp,32KB,ras_rate.PP,0.9647
gcc,tsbp,512KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,tsbp,512KB,ras_rate.PP,0.9667
gcc,tsbp,64KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,tsbp,64KB,ras_rate.PP,0.9657
go,tsbp,128KB,bpred_jr_non_ras_rate.PP,0.6449
go,tsbp,128KB,ras_rate.PP,0.9775
go,tsbp,16KB,bpred_jr_non_ras_rate.PP,0.6449
go,tsbp,16KB,ras_rate.PP,0.9714
go,tsbp,1MB,bpred_jr_non_ras_rate.PP,0.6449
go,tsbp,1MB,ras_rate.PP,0.9799
go,tsbp,256KB,bpred_jr_non_ras_rate.PP,0.6449
go,tsbp,256KB,ras_rate.PP,0.9789
go,tsbp,32KB,bpred_jr_non_ras_rate.PP,0.6449
go,tsbp,32KB,ras_rate.PP,0.9740
go,tsbp,512KB,bpred_jr_non_ras_rate.PP,0.6449
go,tsbp,512KB,ras_rate.PP,0.9795
go,tsbp,64KB,bpred_jr_non_ras_rate.PP,0.6449
go,tsbp,64KB,ras_rate.PP,0.9767
ijpeg,tsbp,128KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,tsbp,128KB,ras_rate.PP,1.0000
ijpeg,tsbp,16KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,tsbp,16KB,ras_rate.PP,1.0000
ijpeg,tsbp,1MB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,tsbp,1MB,ras_rate.PP,1.0000
ijpeg,tsbp,256KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,tsbp,256KB,ras_rate.PP,1.0000
ijpeg,tsbp,32KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,tsbp,32KB,ras_rate.PP,1.0000
ijpeg,tsbp,512KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,tsbp,512KB,ras_rate.PP,1.0000
ijpeg,tsbp,64KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,tsbp,64KB,ras_rate.PP,1.0000
li,tsbp,128KB,bpred_jr_non_ras_rate.PP,0.8256
li,tsbp,128KB,ras_rate.PP,0.9143
li,tsbp,16KB,bpred_jr_non_ras_rate.PP,0.8256
li,tsbp,16KB,ras_rate.PP,0.9090
li,tsbp,1MB,bpred_jr_non_ras_rate.PP,0.8256
li,tsbp,1MB,ras_rate.PP,0.9154
li,tsbp,256KB,bpred_jr_non_ras_rate.PP,0.8256
li,tsbp,256KB,ras_rate.PP,0.9125
li,tsbp,32KB,bpred_jr_non_ras_rate.PP,0.8256
li,tsbp,32KB,ras_rate.PP,0.9111
li,tsbp,512KB,bpred_jr_non_ras_rate.PP,0.8256
li,tsbp,512KB,ras_rate.PP,0.9138
li,tsbp,64KB,bpred_jr_non_ras_rate.PP,0.8256
li,tsbp,64KB,ras_rate.PP,0.9127
