bench,bpred,size,metric,value
m88ksim,mbp,256KB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,mbp,256KB,ras_rate.PP,0.9091
m88ksim,mbp,32KB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,mbp,32KB,ras_rate.PP,0.8619
m88ksim,mbp,512KB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,mbp,512KB,ras_rate.PP,0.9141
m88ksim,mbp,64KB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,mbp,64KB,ras_rate.PP,0.8638
perl,mbp,128KB,bpred_jr_non_ras_rate.PP,0.1495
perl,mbp,128KB,ras_rate.PP,0.9600
perl,mbp,16KB,bpred_jr_non_ras_rate.PP,0.1495
perl,mbp,16KB,ras_rate.PP,0.9600
perl,mbp,1MB,bpred_jr_non_ras_rate.PP,0.1495
perl,mbp,1MB,ras_rate.PP,0.9599
perl,mbp,256KB,bpred_jr_non_ras_rate.PP,0.1495
perl,mbp,256KB,ras_rate.PP,0.9600
perl,mbp,32KB,bpred_jr_non_ras_rate.PP,0.1495
perl,mbp,32KB,ras_rate.PP,0.9600
perl,mbp,512KB,bpred_jr_non_ras_rate.PP,0.1495
perl,mbp,512KB,ras_rate.PP,0.9599
perl,mbp,64KB,bpred_jr_non_ras_rate.PP,0.1495
perl,mbp,64KB,ras_rate.PP,0.9600
vortex,mbp,128KB,bpred_jr_non_ras_rate.PP,0.5754
vortex,mbp,128KB,ras_rate.PP,0.8963
vortex,mbp,16KB,bpred_jr_non_ras_rate.PP,0.5754
vortex,mbp,16KB,ras_rate.PP,0.8951
vortex,mbp,1MB,bpred_jr_non_ras_rate.PP,0.5754
vortex,mbp,1MB,ras_rate.PP,0.8933
vortex,mbp,256KB,bpred_jr_non_ras_rate.PP,0.5754
vortex,mbp,256KB,ras_rate.PP,0.8963
vortex,mbp,32KB,bpred_jr_non_ras_rate.PP,0.5754
vortex,mbp,32KB,ras_rate.PP,0.8986
vortex,mbp,512KB,bpred_jr_non_ras_rate.PP,0.5754
vortex,mbp,512KB,ras_rate.PP,0.8921
vortex,mbp,64KB,bpred_jr_non_ras_rate.PP,0.5754
vortex,mbp,64KB,ras_rate.PP,0.9003
fpppp,mbp,128KB,misses,745
fpppp,mbp,16KB,misses,711
fpppp,mbp,1MB,misses,782
fpppp,mbp,256KB,misses,750
fpppp,mbp,32KB,misses,724
fpppp,mbp,512KB,misses,765
fpppp,mbp,64KB,misses,735
gcc,mbp,128KB,misses,196661
gcc,mbp,16KB,misses,242282
gcc,mbp,1MB,misses,185681
gcc,mbp,256KB,misses,189858
gcc,mbp,32KB,misses,224383
gcc,mbp,512KB,misses,185489
gcc,mbp,64KB,misses,208371
go,mbp,128KB,misses,171454
go,mbp,16KB,misses,202372
go,mbp,1MB,misses,165563
go,mbp,256KB,misses,168086
go,mbp,32KB,misses,185978
go,mbp,512KB,misses,165289
go,mbp,64KB,misses,177554
ijpeg,mbp,128KB,misses,168077
ijpeg,mbp,16KB,misses,271764
ijpeg,mbp,1MB,misses,215085
ijpeg,mbp,256KB,misses,221735
ijpeg,mbp,32KB,misses,121426
ijpeg,mbp,512KB,misses,285827
ijpeg,mbp,64KB,misses,119388
li,mbp,128KB,misses,100450
li,mbp,16KB,misses,112858
li,mbp,1MB,misses,98581
li,mbp,256KB,misses,100568
li,mbp,32KB,misses,110388
li,mbp,512KB,misses,98080
li,mbp,64KB,misses,103686
m88ksim,mbp,128KB,misses,10183
m88ksim,mbp,16KB,misses,10570
m88ksim,mbp,1MB,misses,10425
m88ksim,mbp,256KB,misses,10184
m88ksim,mbp,32KB,misses,9979
m88ksim,mbp,512KB,misses,10468
