bench,bpred,size,metric,value
fpppp,bimod,256KB,ras_rate.PP,0.8213
fpppp,bimod,256KB,divide,by,zero>
fpppp,bimod,256KB,divide,by,zero>
fpppp,bimod,32KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,bimod,32KB,ras_rate.PP,0.8213
fpppp,bimod,32KB,divide,by,zero>
fpppp,bimod,32KB,divide,by,zero>
fpppp,bimod,512KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,bimod,512KB,ras_rate.PP,0.8213
fpppp,bimod,512KB,divide,by,zero>
fpppp,bimod,512KB,divide,by,zero>
fpppp,bimod,64KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,bimod,64KB,ras_rate.PP,0.8213
fpppp,bimod,64KB,divide,by,zero>
fpppp,bimod,64KB,divide,by,zero>
gcc,bimod,128KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,bimod,128KB,ras_rate.PP,0.9667
gcc,bimod,128KB,reverse_bpred_jr_non_ras_rate.PP,0.0817
gcc,bimod,128KB,divide,by,zero>
gcc,bimod,16KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,bimod,16KB,ras_rate.PP,0.9667
gcc,bimod,16KB,reverse_bpred_jr_non_ras_rate.PP,0.0817
gcc,bimod,16KB,divide,by,zero>
gcc,bimod,1MB,bpred_jr_non_ras_rate.PP,0.3227
gcc,bimod,1MB,ras_rate.PP,0.9667
